,comments,sentiment
192582,"We lived in the apartment with three people. Giovanni is a great host. He speaks English and so it's no time a problem to Communicate with him. He always responded to our requests and helped us where he could with tips and many more. For example, it was not a problem earlier than planned and later to move in or out of the apartment. Giovanni was always reachable very quickly. The apartment itself is very spacious and sparkling clean. Everything is available. Also a fully equipped kitchen including dishes is available if you want to cook yourself. The WLAN is very fast and reliable. I would like to say thank you very much for the time in your apartment, Giovanni. We really enjoyed it and thank you for your tips and support. You are a great host! We'll be back!",1
177206,Comfortable apartment in a very good location. Walking distance to Leblon beach and close to the best restaurants in the city at Rua Dias Ferreira.,1
7260,"The studio is in a great location in Ipanema, the beach with the famous posto 9, loads of restaurants, bars and shopping possibilities are in walking distance.
Brunello is a great host, very flexible, responds very quickly to messages and gives comprehensive information about Rio. We asked for an alteration of our booking dates only one day before would actually arrive and he maked it possible for us. I can definitely recommend this place! ",1
129087,"Pol and Bibi are brilliant hosts. Beginning from meeting Pol at a local bar for a drink, to the private movie night and complimentary laundry service, we always felt welcome. The room itself (upstairs) was a pleasant surprise. After 8 months of countless hostels, this was up there with the best and cleanest room we've stayed in, with a private bathroom even. And the animal lovers in us loves that they have a rescued kitten and puppy living with them.
The neighbourhood has a real community atmosphere and we never felt unsafe. Don't be mistaken - it is definitely uphill to get here, but we did the walk multiple times and the thought is worse than actually doing it. And if you can't be bothered or it's too hot, a mototaxi is good fun! Just make sure your nerves are strong.
Pol took us on a walk through the favela to the top of the hill from where we had a unique view of Sugar Loaf, the bay and Copacabana beach.
Pol is instrumental in the community and together him and Bibi are doing their bit to give back to the community to help it grow. 
They have great plans for this place and it will only get better with time.",1
27835,"Alexandra was a great host apartment was as advertised great location near everything and i was very pleased with my stay, i look forward to renting again in the future.",1
273842,"The flat has an excellent location, 2 blocks away from Ipanema beach, with a great variety of stores and restaurants nearby. Public transport is literally across the street. The flat is clean and nicely decorated. Rose is a very helpful and lovely person- we shared a lot of time and laughters together and she made us feel like part of her family. Best airbnb experience so far!",1
105409,Beautiful place. We loved it. And we will always come back.,1
14066,Great place and wonderful host!,1
97533,"Excellent small apartment near the beach and in the middle of everything - close walking distance to supermarkets, banks and shops.

Celia is a great host and allowed me to move into the apartment at 8:30 am after an early morning arrival. 

Complimentary drinks in the fridge and fruit was a nice extra.

Simply excellent!",1
59326,"I would like to to tell thank you very much at Brenda and of course at Simão, Antonio and Paulo who helped me when i needed it! Everything was amazing, apartement, view, disponibilité...
For sure I will come back very soon in Rio and in this apartement!
",1
204201,"Lino's apartment is an excellent place to stay!  I've been to Rio a couple of times and stayed in several locations.  This is definitely my favorite!  

Leblon is a beautiful neighborhood and a great location near everything you need to enjoy Rio!  This apartment is located perfectly between shops, food, nightlife and  Leblon beach.  If you want to relax and stay close to the neighborhood, you can have a stress free and relaxing stay!  The rest of Rio is an Uber or Taxi ride away!  

The apartment is even better than the photos show with tons of open space and a cool modern design.  On top of that, the unit is filled with a carefully curated and stylish original art collection.  It was fun to spend some time studying each piece!  

If you're shopping around for a place to stay in Rio, do yourself a favor and choose this apartment!  ",1
70786,"Our stay in Rio in the apartment of Leo &Archanjo was very good even if there has been a  regrettable incident when we arrived.
That is the house was not cleaned. Leo was really surprised ad immediately called person to come cleaning, and asked us come back after two hours.
We asked for another house but it was not possible because were all occupied. So  we left our luggage and go dinner with our friends. After 2 hours Leo sent a message house is cleaned.
We came back, the house was ok. However i think the house need some good renovation, that is  mattress pillows and humidity very high. All this is good suggestion in order to have more clients
The house is in a very good position, near beach, metro, bus, and many restaurants shops and all what you can desire. Third floor ins not a problem at all.
At the end we appreciate very much Leo didnt’ ask money for energy and one glass broken.

It has been a good stay and will come again if arrive in Riio.
Tiziana e Claudio 
from Rome Italy

 ,",1
37360,The host Manfred was EXCELLENT with communication and was extremely helpful. The location is excellent and really close to the beach. What makes this space special is that there is a Full Bathroom in EVERY BEDROOM  (3) ! Very well kept and really clean. Will come back again for sure!,1
23510,"We stayed at Luiz for one week during our first trip to Rio. Luiz was always available to help us plan trips, get around the city, nightlife spots, or with anything else we needed. His house is really great and comfortable, really close to the beach, shops restaurants and bus stations. The room was nice as well. At the end of our stay he arranged for a taxi for us to take us to the airport, which was really helpful. A really great first visit and would definitely recommend to other travelers !",1
208465,"Barra da Tijuca is a wonderful location. The Miami of South America. A very safe location.

The apartment is 3 min walk-distance to the beach of Barra da Tijuca. All equipment for a pleasant stay is provided. From towels to glasses and of course air conditioning.

Would suggest to everyone looking for an accommodation in Barra da Tijuca.",1
38827,"The apartment is as advertised. The location is the best you can have in Rio. The apartment is small but well thought. In my stay, the neighbour wouldn't stop to play the piano every single afternoon. Fortunately, he/she was a good player. ",1
66334,"I had a great stay at Luciana's! It was everything as described and more!  Luciana responded to all my inquiries promptly and when I met her, she was very lovely! Looking forward to my next visit!",1
80041,Fantastic location close to the beach and Silvana was so friendly and helpful! ,1
134715,"1) About the location
You will be living at the best location of Rio, safe and chic area. I have the say because I have stayed in Rio for 3 weeks and was living in another Airbnb house after staying at Cele’s. Cele’s house is the best choice in terms of quality/price, location, convenience ( metro, supermarket, restaurants, cafes and gym, yes Gym, are literally downstairs) and her hospitality. You will be amazed what a good deal you are getting.

2) About the host Cele
Words cannot even describe 1% of who Cele is and how Cele makes me feel and what this experience in Rio with Cele has inspired me. Cele is someone who is special, warm-hearted, super beautiful physically and soulfully. Our connection is so special that I feel like she is my long-lost sister from the other side of the world. ( I was born and raised in China. I could never imagine that there is someone who thinks, fights for life at the other side of the world the same way as I do). Airbnb is so magical that it connects people who seem have nothing in common but eventually turns out to be your best friend who makes you feel so familiar and close! 

I will come back for this beautiful city and more importantly for this beautiful and magical rencontre of Cele. I believe in destiny and destiny directed me to Cele. Now, it is your turn to be led to Cele and start a new magical experience with her in Rio!",1
38071,"Excellent hosted! Excellent location, clean, comfortable, the hosted was very friendly and helpful. We were enchanted ",1
48121,"Clean, great location and Matteo is quick in response. Would definitely recommend!",1
60568,"Well situated on a quiet street a few blocks from Copacabana beach and a few blocks from Ipanema beach.  Apartment is tiny but a solid option for a single traveler.  Has hot water in shower, full size refrigerator, gas stovetop and a washing machine.  ",1
229862,"Excellent value. Friendly people.
The hosts were extremely helpful and patient. I felt very valued. 10/10",1
38978,"I had a great stay at Mauricio apt's!  Excellent location, close to everything. The apt was always clean and the hostess Matheus is very friendly and made me feel very comfortable! If I need will definitely go back.",1
187100,"The apartment has an amazing view!
A big living room and great rooms.
Great location, near bars and subway.
Mario is a kind person, always answered us very fast when we needed. 
Me and my family will be back for sure!
",1
227457,"This place is amazing !  400 meter from the beach, close to EVERYTHING !  bars, resturants, nightclubs..  the house next door have a security guard so you feel very safe.  its also a very quiet neighborhood so sleep was never a problem.  Claudia was very easy to communicate with and if i had a question she replied very fast.  i HIGHLY recommend this place, it was also very clean when i arrived :)  thank you for a wonderfull time !",1
30884,"Marcio and Claudio have a great space in a unique location. For seasoned travellers to Brazil you will find their space far superior to most accommodations. from great water pressure in the shower to little touches like the soaps, fresh coffee (and and abundant amount) of coffee, water cooler etc. The neighbourhood is quiet (relative to most of Rio) and a great spot for cycling and walking. We will def stay there again in the future.",1
311809,"Great stay , I will definitely be back . They provided great local recommendations and have rapid response times .",1
10660,"We spent 10 days in this flat, and we are more than satisfied! We were with small children, also our friends came to visit us with their small daughter, so our demands were exagerated sometimes. And we are very happy with the choice we did. Very good location, close to shops (nearest one is 3 min by feet) and public transport (metro station just 5 min by feet), extremely responsive guards in condominium, quiet and friendly neighbours. Small room behind the kitchen is very usefull if you have guest or somebody who needs to live alone. Marcelo is extraordinary (for my culture, mabe not for Brazilians) kind and helpful, speak's very good English. With this flat we were in the nice neighbourhood, not far from all the sights and enjoyed in the same time Ipanema! 
",1
82140,"The apartment is very conveniently located in Ipanema, a short walk from shops, restaurants, and between two metro stops. Copacabana is also within walking distance. Giovanna is a wonderful and responsive host! ",1
152386,"BRILLIANT! COULD NOT BE BETTER! This really is an exceptionally good Host and apartment. Few come as good as this.
The Host, Alex, could not be more hospitable, always available and attentive. But it's the little details that make this place so exceptional - details Alex provided by Alex. Chocolates on the bed, a fridge loaded with beverages, personalized shampoo and soap, none of which I was expecting. 
The apartment itself is BETTER than in the photos! Much larger [30m2] and stylish. There's a new washing machine, a power shower, ice cold AC, the list goes on and on. 
Did I mention that the large bed is also as good as it gets? The type you lie down on for five minutes, and wake up three hours later...
The building is solid, safe and quiet, located in a side street, which means there is very little noise from outside. Obviously there's no 'ocean view', but why look out when everthing's so wonderful inside?
",1
95901,"Great place, great location. Recommend it!!!",1
197333,"I loved the place!
The location is amazing, literally close to everything in Ipanema. The apartment is beautiful, well decorated, and comfortable. I’ll save this contact to rent it again next time I’ll go to Rio and I am also recommending it to friends and family.
Thanks",1
139155,"We were very pleased when we got to the apartment to see how close it was to the Copacabana beach. When we arrived Fabi was very welcoming and very helpful with information about the area and the best ways to travel around Rio. The apartment was perfect for two of us and would easily work for more people who just want a comfortable place to stay in Rio. Would highly recommend staying here for the value, location and comfort. ",1
278733,Eliana is an amazing host and the place was really nice! We enjoyed it a lot - thank you very much!,1
88395,Top location!!!,1
195839,Amazing stay at this appartment definitely recommend it to everyone,1
40822,"I loved to spend my holiday at Saverio and Eliana's place. They are wonderful and well educated people. They made me feeling at home. The hole apartment is nice and clean. The room is big and comfortable. The house is located at Osorio, a good area in Ipanema, where you can feel safe, even in the night. All around there are shops, supermarkets and restaurants.  Ipanema beach is 5 minutes by walk. If I will go back to Rio I would stay at their place again, I got a lot of fun with them!
",1
44254,"We stayed at this house for the Olympics since the events we came to watch where at the Deodoro venue. The house was as advertised, big enough for 4-5 people, with good features and great proximity to the Deodoro venue. There is a convenient neighborhood grocery store and the Bangu Shopping Center is a short Uber ride away. We took Uber many times from the house with no problems. I would not walk to the train station -- it seemed a little sketchy near the station. ",1
214780,"Very nice apartment, with great location. Close to the beach and the best was the supermarket next by who had open 24 hours.",1
144215,Adriana's place is great! Amazing location and the hosts are very friendly and give great advice on bars/restauarants. Would definitely stay here again :),1
62176,"Marjons house is out of a dream, nestled inside a lush forested hill, with christ looking over. The house was easy to locate, and very well connected by bus to the centre of Santa Teresa, which is a beautifully ambient neighbourhood. Marjon's very affectionate cats and dogs made us feel at home. And Marjon herself is an incredibly knowledgeable person and a warm host. 
Nature almost spills into this house, which is what makes it special. However as a result, maintaining the house is a challenge. There will be monkeys, birds, bugs and of course dogs and cats around. The open kitchen will tend to get dusty. While these were hardly issues for us, people who have outrageously high expectations about cleanliness should are not encouraged to stay here.",1
245892,"Apartment very nice, and in a strategical position in Rio.",1
2312,"Great place! The apartment is walking distance to Copacabana and Ipanema beach, the metro, and the main square where there is a craft fair on Sundays. Valeria was very communicative and helpful. Also, there is a doorman in the lobby is always available to answer questions. The only downside is that it is a little loud on weekend nights because of the music on the street. Would definitely recommend this spot!",1
190762,"It was a pleasure to stay at the appartment of Ignacio! He had good tips for Rio and the location of the appartment is great!
I can recommend to everyone!",1
52645,"The host, Paulo, was extremely helpful, beyond expectations. And the location of the apartment couldn't be better, on the right Copacabana and on the left Ipanema! Thank you",1
35816,"The only suitable word is great. Appartment is in great neighborhood, five minutes to the beach (Copacabana). All the buses go there, it almost seemed that anywhere we go we always end up on Barato Ribeira street so we couldn't get lost even if we tried. Taxi from SDU airport is cheap there as it's close. Local bus from the bus station stops in this street as well. What else could we wish.

The appartment was clean, well equipped, had everything we needed, fridge, microwave oven, hot/cold shower. We had towels prepared as well so we had everything we could ever need.

Carlos was really nice to us, communication without any problem, we met at the doorstep as we agreed, we got the keys and we could enjoy! On our last day he even left us to stay there untill late because our bus to Sao Paulo was in the evening. Thank you for eveything!

For those who do not speak English :-)
",1
266879,I had a nice stay at Santiago's place.  It is bigger than in seems in the photos and there are lots of nice small touches.  Also very clean.  Thanks again Santiago,1
257219,"Great location ,very reasonable price ,
Clean , safe , new remodel 
I enjoyed staying at this apartment",1
160485,"Fatima was so kind and the reply was so quick, I couldn’t stay whit her for personal reason but the communication was excellent.",1
293529,Enjoyed our stay at the flat and location was great.,1
54446,This apartment delivered as advertised and is in a great location near the beach.,1
175916,Definately recommend this place!,1
28392,"I highly recommend this apartment. It was lovely, just like the pictures. Perfect location near bars, restaurants, a grocery store, and of course the beach. Jose was an amazing host! He took great care of us; he arranged airport transportation, refilled our drinking water, provided new linens in the middle of our stay, and was so friendly and helpful our whole stay. 
Definitely stay here or any of Jose's apartments and you will be sure to have an amazing stay in rio. ",1
282030,"I had a great time in Rio. I felt so safe in Marcio’s place, so well designed and close to beach. Marcio was a great host, and so helpful. It is really close to Posto 9 at Ipanema beach - loved it loved loved it",1
35757,"The location of the apartment cannot be better, it’s just 2 blocks away from Copacabana beach. Ipanema beach is just a short stroll away (20-30 minutes, depending how fast you can walk). 

Two blocks away is Cantagalo Metro station, great to go to the Centro or Lapa and save on taxis. 

Big supermarket is also few blocks away and most conveniently a small bakery is just few doors away where you can get fresh bread and pastries every morning. 

Although the building is on the noisy street, the apartment is at the back, meaning you can’t hear any of the traffic and street noise, which are usually very loud everywhere in Rio.

The apartment is very clean and really spacious for a couple such as we were, it has plenty of space in the bedroom part, which is great again if you are a couple. The bed is large and comfortable too. The bedroom has a view of the hill behind the building and other buildings are quite far away. There is enough wardrobe space to put all your belongings away from sight. 

The kitchen has everything you need for a short stay in Rio, big fridge and a cooker. The “living room” part is smaller than the bedroom and has sofa-bed where another two people can sleep. There is also a fold-out table and a TV with enough channels to satisfy a Brasilian.

Another aspect, which is important to me for working on the go, is the Internet Wi-Fi connection - the signal was strong and speed was fast enough to do anything.

Carlos, the host, is really sweet and accommodating, speaks good English and answers emails really quickly.

I highly recommend this apartment to anyone, especially on a budget.
",1
54531,"I was not welcomed by the host so I never got to meet her. The key was left with the doorman. The place was very small and not fit for long term stay. I had problems from the start, there was no pans or utensils but just a bare minimum. I asked for more things and the host provided some stuff but I did ask for these things to be there and was assured there was everything at the place. I had to buy a bottle opener. The counter top was very sticky the vanish used was wrong. The worktop itself was coming away from the wall. I told the host about this but it was not fixed, instead she got the cleaner to prop it up with a chair and towels so I could not use the cooking facility from then on it was out of action. I done an all inclusive price but the host still asked me to pay extra on top of this to the maid. I was not happy about this but the host threatened me to leave the place if I did not pay so I paid 200 real in cash to the maid just to get the host off my back. The air-conditioner was not working properly and dripped water on to the floor. The host kept on harassing me on whatsap about the things that was a fault of her bedsit that in my opinion is not fit for purpose for a long stay and the host agreed this in a conversation to me. A couple of glasses were broken and I was constantly harassed to pay 80 real for this but I refused to pay because I thought the host was just trying to get more money out of me. After all I did pay the cleaner outside of airbnb that I believe I should not have but did it just to get her off my back so a couple of glasses I thought was no big deal. I have lots of whatsap conversation with the host that I have saved if airbnb would like a copy I can send. I came to Brazil for a holiday not to unnecessarily talk to the host and be stressed throughout my stay because of her faulty place. On the last day I had enough, the cleaner never arrived and I decided to spend that night in a hotel because there were lots of flies in the bathroom and the cleaner did not turn up for over a week even though I paid. Even then when I told the host I have left the bedsit and decided to stay in a hotel for the last night because of the situation she was not sympathetic at all, instead she decided to harass me for hours about the broken glasses. So overall my first airbnb experience was a bit of a nightmare. I would not recommend this place and hope never to hear from this host...",0
4026,"In my opinion, Angelica is everything an Air BnB host should be...warm, welcoming and generous with her space and her time. We loved her perfectly located apartment in the Gloria neighborhood, a super short walk to the Metro station and very close to Santa Teresa where we spent a lot of time. Angelica gave us a lot of helpful info on the area and in Rio in general. She even purchased us our Metro cards for Cobacabana New Year's Eve travel before our arrival so that we would be assured a transportation option on that night. We loved everything about staying here and highly recommend it. Obrigado Angelica! ",1
98024,"Amazing loved the apartment, beautiful, well located, and clean.

The host is also great ",1
42403,Large spacious apartment with stunning views. In the vicinity of the mass of shops and bars. Flamengo beach (clean and little frequented beach) can be reached on foot in 10 minutes. Quiet area. I would recommend to anyone.,1
186335,The place is at a great location and has parking. Not very modern inside but clean and very convenient. ,1
288430,The place exceeds my expectations. It is very close to the metro so moving from the apartment is quite easy.,1
49973,Great Apartment. Perfectly clean and in perfect location. Alessandro was really helpful. Would recommend to anybody ,1
238285,This is a great and stylish loft in good location in Ipanema close to posto 9.  beach a few blocks down and all that you need for a nice stay is close by. Security at the gate is very helpful and nice and makes sure no uninvited guests are let in.,1
22150,"The Place is awesome with every thing you need
Not Only it is exactly as described on the photos and the location is great very near from the beach and from a street with every kind of shop you need 
But  probably one of the best things is tat the Owner Janaina is really helpful seeking for her guests to have a nice experience, not only she had a good communication before and during our stay 
But she also came to receive me (when there was no need since there is already a reception in the building) she even accompanied me to show when to fin a place to exchange money , and as that place was close she changed money for me herself … little details that surely make a difference
Thank you Janaina for you kindness and for the good time spent in your apartment 
",1
167194,Great place to stay and you are in Ipanema!,1
195970,"A small and clean apartment with good location, very close to Avenida Praia do Flamenco where you can take bus 2018 all the way to Galeao airport for very cheap.

The only thing I missed was perhaps a little stove to cook basic warm meals now and then. However there is a fancy microwave that I didn’t use. Ate most of my meals out, except for breakfast.

The guys in the reception speaks no english and I speak no portugese, so there was a bit of confusion until they understood why I was there. But then they just called Marcella and it was fine. And recommend this place, especially to people travelling alone.",1
138455,"We had a brilliant time staying at Vania's apartment, so much so that we extended our stay for another two days. Vania was an amazing host and made sure we had everything that we needed. The apartment was exactly as described, spacious and modern. The facilities available are excellent and I would highly recommend the rooftop pool and restaurant facilities. Thanks again Vania for making our time in Rio so enjoyable.",1
15878,"It was such a great experience! I was traveling for the first time by myself, but Elisa, her husband and their daughter gave me so much tipps and good advice where to go or what to see! The room was very comfortable and the Appartement was clean! If sometime i would go to Rio again, i know now where my home will be! :) Thank u very much also for the little present! ",1
95467,"Alessandro’s place is amazing. I want to start off by saying that the check-in is super fast, easy, and it makes you feel extremely safe. According to everyone that I met, Leblon is one of the best places to stay in, so I am glad I picked this place. I would definitely recommend anyone to stay here.",1
82936,Superb experience with Vini:) would definitely come back to stay here when my next trip to Rio again! he's helpful all the way ,1
4426,"Amazing apartment with an incredibly view..! 

This amazing apartment is in a great location just 10 mins walk from red beach and just down the road from a shopping mall with easy access to taxis and buses.

It's open plan and incredibily beautiful with clear wievs of Cristo Redentor on one side and the Sugur Loaf on the other.

This apt and this location are perfect if you have great taste and you'd like something unsual and off the beaten track. 

Conor and Adriana were great hosts and could not have been more helpful and friendly and this was definitely the best apartment we've ever stayed in.! 


",1
97840,Loved my time in Beatriz’s studio the location was perfect and is very close to Copacabana and very safe neighborhood.,1
53736,Adriano was an amazing host. His apartment is pretty close to the beach and the Metro station. The area was very alive during carnaval. Definitely I great place to stay in Rio.,1
159986,"If you are looking for a place close to Copacabana beach, its hard to beat. Don't expect anything fancy, the building is old and the appartment needs a bit of TLC. The old and stained sheets were my biggest disappointment. If you are not a clean freak then it might just be OK, the air con is loud but it's functional in the 3 rooms. Wifi isn't the best but apparently there was a problem with the service provider during our stay and the host quickly took care of it. In terms of communication, the host was available and offered nice local tips. In the end if you don't plan on cooking or staying in much, the place is great mostly for the location. But its not your romantic getaway...",0
61039,"We spent a wonderful weekend in Rio in this flat. It is accurately described- actually that’s a lie! I missed out on the fact when I was booking it that there were TWO bathrooms! So a great and very welcome surprise! The communication was easy and very friendly. Everything we needed was resolved quickly. The space itself is wonderful- stylish, clean and soothing. Great to relax but also has a work desk which was perfect for our work- relaxation break. It’s not right next to the beach but on a quiet street about 5 minutes away - we knew that when booking and were quite happy with the location. The space is co-hosted by Cândida and she was absolutely brilliant. So thank you Rosângela and Cândida for a great stay - we will be back! ",1
226477,Great location and view. Feels like a mini hotel room.,1
305149,"Super recommend 
Perfect location, cozy and neat room.
Don’t hesitate ;-)
",1
271642,Adriana’s location is great and communications are flawless. Thanks!,1
250872,"Where do I start? 
This apartment is amazing, from the decorations to how clean it was when we arrived. You can find every single thing you need, just like at home. Loved every minute of this experience, and recommend it 100%",1
286975,"Would recommend without hesitation for up to two travelers.  But the fold-out couch, which allows to host up to two more people, is not extremely comfortable. Good enough if you only stay a night or two though. But other than that, we truly had a great stay and Newton has been great to us.",1
179160,"This place was way better than expected! The apartment was very spacious and the location was literally a 5 min walk to the beach.  It was very clean and there are a lot of local places that you can buy food and cook, or enjoy nearby restaurants. Overall, we had an amazing time in Copacabana, and Marcia, our host, was very kind and accommodating to us during our trip. Highly recommended!!!",1
84196,Excellent host. The apartment was very clean and comfortable. Great location!,1
407,"Great apartment in central location loved our 6 days here. Plenty of cooking, coffee making facilities if you need, but so many great restaurants that our friendly helpful awesome hosts told us about! We asked to stay 2 extra days on our original booking and viviane was so good to arrange it all! ",1
152716,"Everything was very good! The apartment is just like you see in the pictures: very simple, small, but it had everything we needed. It was also very clean.
The location is great. Copacabana is a fun neighborhood, although it can be kind of dirty and noisy, specially on the weekends. But the best thing about Marlyan's apartment is its closeness to the beach. You can walk one minute and arrive to a beautiful beach (with lots of people but beautiful nonetheless). This was glorious.
If you think Copacabana could be the kind of neighborhood you'd like, this apartment is a great option. I would definitely go there again.",1
81951,"Fabulous apartment in a great location. Very clean and tidy and perfect for our needs. We felt very safe with the doorman, who we both friendly. We loved having the balcony to watch the hustle and bustle of the street. Patrick was a great host and sent us lots of useful information on the area. We would definitely recommend this apartment to friends. ",1
241200,Great location! We enjoyed our stay in Rio!,1
102549,A nice apartment with the beautiful view of Ipanema beach.  The host and building staff were very responsive.  My husband and I enjoyed our stay very much!  Thank you!,1
